experiment,primary_decision,status,model_or_prop,date,terminal_decision_path
mlb_hits15_champion_orientation_control_audit,NO_TERMINAL_DECISION_FILE,HISTORICAL_ARCHIVED,HITS_OVER_1.5,,
mlb_hits15_hitter_owned_multi_hit_validation,NO_TERMINAL_DECISION_FILE,HISTORICAL_ARCHIVED,HITS_OVER_1.5,,
mlb_hits15_three_way_directional_ownership_validation,NO_TERMINAL_DECISION_FILE,HISTORICAL_ARCHIVED,HITS_OVER_1.5,,
mlb_hits15_two_sided_matchup_advantage_audit,NO_TERMINAL_DECISION_FILE,HISTORICAL_ARCHIVED,HITS_OVER_1.5,,
mlb_hits15_pitcher_suppression_under_validation,NO_TERMINAL_DECISION_FILE,HISTORICAL_ARCHIVED,HITS_UNDER_1.5,,
mlb_hits15_prospective_suppression_shadow,NO_TERMINAL_DECISION_FILE,HISTORICAL_ARCHIVED,HITS_UNDER_1.5,,
mlb_hits15_suppression_price_timing_and_shadow,NO_TERMINAL_DECISION_FILE,HISTORICAL_ARCHIVED,HITS_UNDER_1.5,,
mlb_bol_tb15_historical_batting_order_rejection_audit,BOL_TB15_BOTTOM_ORDER_REPLICATION_DECISION = TIER1_HISTORY_TOO_LIMITED_FOR_DECISION,HISTORICAL_ARCHIVED,TB1.5_BATTING_ORDER,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/batting_order/mlb_bol_tb15_historical_batting_order_rejection_audit/2026-07-28/terminal_decision.md
mlb_ubo5_tb15_batting_order_calibration_audit,MLB_UBO5_TB15_PRODUCTION_ACTION_DECISION = READ_ONLY_NO_FILTER_MODEL_OR_ROUTING_CHANGE,HISTORICAL_ARCHIVED,TB1.5_BATTING_ORDER,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/batting_order/mlb_ubo5_tb15_batting_order_calibration_audit/2026-07-28/terminal_decision.md
mlb_ubo5_tb15_order_penalty_interaction_audit,`UBO5_ORDER_MODEL_REDESIGN_DECISION = CONTINUED_PROSPECTIVE_OBSERVATION_ONLY`,HISTORICAL_ARCHIVED,TB1.5_BATTING_ORDER,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/batting_order/mlb_ubo5_tb15_order_penalty_interaction_audit/2026-07-28/terminal_decision.md
mlb_bol_tb15_low_opportunity_weak_contact_audit,`BOL_TB15_PROSPECTIVE_SHADOW_DECISION = BOUNDED_H8_SHADOW_TRACKING_JUSTIFIED_DIRECTIONAL_NOT_CERTIFIED`,HISTORICAL_ARCHIVED,BOL_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/bol_market_universe/mlb_bol_tb15_low_opportunity_weak_contact_audit/2026-07-28/terminal_decision.md
mlb_hits15_tb15_cross_prop_rejection_audit,HITS15_TB15_INCREMENTAL_ORDER_VALUE_DECISION = NO_USEFUL_INCREMENTAL_VALUE_DESCRIPTIVE_ONLY,HISTORICAL_ARCHIVED,HITS_TB_CROSS_PROP,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/cross_prop_overlap/mlb_hits15_tb15_cross_prop_rejection_audit/2026-07-28/terminal_decision.md
mlb_ubo5_tb15_production_decommission,UBO5_TB15_REPOSITORY_DELETION_DECISION = NOT_PERFORMED_DECOMMISSION_ONLY,HISTORICAL_ARCHIVED,UBO5_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/decommission/mlb_ubo5_tb15_production_decommission/2026-07-28/terminal_decision.md
mlb_ubo5_completed_game_feedback_loop,MLB_UBO5_PRODUCTION_ACTION_DECISION = MODEL_FROZEN_INPUT_FEEDBACK_LOOP_REPAIRED,HISTORICAL_ARCHIVED,UBO5_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/reconciliation_and_closeout/mlb_ubo5_completed_game_feedback_loop/2026-07-27/terminal_decision.md
mlb_ubo5_tb15_counterfactual_incumbent_repair,NO_TERMINAL_DECISION_FILE,HISTORICAL_ARCHIVED,UBO5_TB1.5,,
mlb_ubo5_tb15_daily_feature_ledger_integration_repair,NO_TERMINAL_DECISION_FILE,HISTORICAL_ARCHIVED,UBO5_TB1.5,,
mlb_ubo5_tb15_human_readable_board,`MLB_UBO5_TB15_PRODUCTION_ACTION_DECISION = ROUTING_UNCHANGED_PRESENTATION_ONLY`,HISTORICAL_ARCHIVED,UBO5_TB1.5,,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/reconciliation_and_closeout/mlb_ubo5_tb15_human_readable_board/2026-07-23/terminal_decision.md
