canonical_season,game_id,winner_flag_agreement,final_home_goals,final_away_goals,max_home_won,score_winner_home,consistency_class,resolution
2023,2023020001,True,5,3,1,1,EXACT_AGREEMENT,NONE
2023,2023020002,True,2,4,0,0,EXACT_AGREEMENT,NONE
2023,2023020003,True,4,1,1,1,EXACT_AGREEMENT,NONE
2023,2023020004,True,5,3,1,1,EXACT_AGREEMENT,NONE
2023,2023020005,True,6,5,1,1,EXACT_AGREEMENT,NONE
2023,2023020006,True,3,1,1,1,EXACT_AGREEMENT,NONE
2023,2023020007,True,5,3,1,1,EXACT_AGREEMENT,NONE
2023,2023020008,True,2,5,0,0,EXACT_AGREEMENT,NONE
2023,2023020009,True,8,1,1,1,EXACT_AGREEMENT,NONE
2023,2023020010,True,1,5,0,0,EXACT_AGREEMENT,NONE
2023,2023020011,True,2,4,0,0,EXACT_AGREEMENT,NONE
2023,2023020012,True,4,3,1,1,EXACT_AGREEMENT,NONE
2023,2023020013,True,2,1,1,1,EXACT_AGREEMENT,NONE
2023,2023020014,True,2,0,1,1,EXACT_AGREEMENT,NONE
2023,2023020015,True,3,0,1,1,EXACT_AGREEMENT,NONE
2023,2023020016,True,1,4,0,0,EXACT_AGREEMENT,NONE
2023,2023020017,True,3,4,0,0,EXACT_AGREEMENT,NONE
2023,2023020018,True,0,4,0,0,EXACT_AGREEMENT,NONE
2023,2023020019,True,5,2,1,1,EXACT_AGREEMENT,NONE
2023,2023020020,True,6,4,1,1,EXACT_AGREEMENT,NONE
2023,2023020021,True,3,2,1,1,EXACT_AGREEMENT,NONE
2023,2023020022,True,5,3,1,1,EXACT_AGREEMENT,NONE
2023,2023020023,True,6,4,1,1,EXACT_AGREEMENT,NONE
2023,2023020024,True,3,2,1,1,EXACT_AGREEMENT,NONE
2023,2023020025,True,5,2,1,1,EXACT_AGREEMENT,NONE
2023,2023020026,True,7,4,1,1,EXACT_AGREEMENT,NONE
2023,2023020027,True,3,2,1,1,EXACT_AGREEMENT,NONE
2023,2023020028,True,2,1,1,1,EXACT_AGREEMENT,NONE
2023,2023020029,True,3,4,0,0,EXACT_AGREEMENT,NONE
2023,2023020030,True,1,2,0,0,EXACT_AGREEMENT,NONE
2023,2023020031,True,4,1,1,1,EXACT_AGREEMENT,NONE
