row_type,period,variant,games,within_venue_month_depth_forecast_correlation,partial_correlation_after_park_factor_control,direct_d_log_location_per_depth_game,remaining_mechanism,venue_id,park_name
AGGREGATE,DEVELOPMENT_2023_24_IN_SAMPLE_REFERENCE,CONTROL_RAW,4859,-0.07485201401611138,-0.07166664832390503,-0.0005735321288036154,raw depth plus retained inputs,,
AGGREGATE,DEVELOPMENT_2023_24_IN_SAMPLE_REFERENCE,REPAIRED,4859,-0.05277518174561666,-0.048756277388578746,0.0,retained park factor and other time-varying features only,,
AGGREGATE,FROZEN_2025_VALIDATION,CONTROL_RAW,2433,-0.021106725024370884,-0.02506818832940049,-0.0005735321288036154,raw depth plus retained inputs,,
AGGREGATE,FROZEN_2025_VALIDATION,REPAIRED,2433,0.019183616130772164,0.015572438249119375,0.0,retained park factor and other time-varying features only,,
AGGREGATE,2026_SEQUENTIAL_EARLY,CONTROL_RAW,1281,-0.09840641732362801,-0.10105245202700962,-0.0005735321288036154,raw depth plus retained inputs,,
AGGREGATE,2026_SEQUENTIAL_EARLY,REPAIRED,1281,-0.06474406369494685,-0.06827276695279572,0.0,retained park factor and other time-varying features only,,
AGGREGATE,2026_LATE_HOLDOUT,CONTROL_RAW,439,0.024928934970226455,0.018134602401827366,-0.0005735321288036154,raw depth plus retained inputs,,
AGGREGATE,2026_LATE_HOLDOUT,REPAIRED,439,-0.013519518862109581,-0.019779403059071828,0.0,retained park factor and other time-varying features only,,
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,301,-0.20116634641160977,-0.19021859012804018,-0.0005735321288036154,raw depth plus retained inputs,1,Angel Stadium
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,301,-0.1557543688534901,-0.1442535645486025,0.0,retained park factor and other time-varying features only,1,Angel Stadium
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,304,-0.11354964620012817,-0.07462772486188332,-0.0005735321288036154,raw depth plus retained inputs,2,Oriole Park at Camden Yards
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,304,-0.06947014893409409,-0.027177796081335,0.0,retained park factor and other time-varying features only,2,Oriole Park at Camden Yards
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,299,-0.13222955988004495,-0.08825257452569114,-0.0005735321288036154,raw depth plus retained inputs,3,Fenway Park
MATURE_VENUE,ALL_HISTORICAL,REPAIRED,299,-0.15147180425823342,-0.1074334253349417,0.0,retained park factor and other time-varying features only,3,Fenway Park
MATURE_VENUE,ALL_HISTORICAL,CONTROL_RAW,298,-0.03760077495424907,-0.04286256280144299,-0.0005735321288036154,raw depth plus retained inputs,4,Rate Field
