path_role,implementation,input_artifact,identity_join,final_predicate,tb_arithmetic,no_action,price_source,stake,rounding,revision,fallback,decision
broad_cleanroom_closeout,backend/mlb/scripts/cleanroom_v1/closeout_cleanroom_bol_tb15.py,immutable final-pregame population,game_pk+player_mlb_id,official Final,component recomputation,zero PA VOID,frozen final odds,$5,aggregate display,revision directory,none,ACTIVE_REVIEWED
under_closeout,backend/mlb/scripts/cleanroom_v1/manage_cleanroom_bol_tb15_under_hypotheses.py,frozen hypothesis package,game_pk+player_mlb_id,official Final,component recomputation,zero PA VOID,frozen final odds,$5,aggregate display,manifest revision,none,ACTIVE_REVIEWED_NEUTRAL_PACKAGE_GAP
top_order_closeout,backend/mlb/scripts/cleanroom_v1/manage_cleanroom_bol_tb15_under_toporder.py,frozen top-order package,game_pk+player_mlb_id,official Final,shared component logic,zero PA VOID,frozen final odds,$5,aggregate display,manifest revision,none,RESEARCH_PAUSED_NOT_DENOMINATOR
status_commands,Makefile + cleanroom_v1 status modules,immutable manifests,none,none,none,reported counts,none,none,JSON,none,none,READ_ONLY
outcome_acquisition,backend/mlb/scripts/cleanroom_v1/closeout_cleanroom_bol_tb15.py,MLB Stats API game feed,game_pk,official Final,n/a,n/a,n/a,n/a,n/a,n/a,no inherited outcome object,ACTIVE_REVIEWED
outcome_parsing,backend/mlb/scripts/cleanroom_v1/closeout_cleanroom_bol_tb15.py,preserved raw game feed,game_pk+player_mlb_id,official Final,official batting components,missing result unresolved required,none,none,full precision,none,none,DEFECT_FOUND_EXISTING_VOID_UNSUPPORTED
total_bases_helper,backend/mlb/scripts/cleanroom_v1/outcome_lineage.py,official component fields,exact row,caller enforced,two equivalent formulas,missing required stat fails,none,none,integer,none,none,HARDENED_TEST_HELPER
settlement_helper,backend/mlb/scripts/cleanroom_v1/outcome_lineage.py,frozen American odds,exact frozen row,n/a,n/a,nonaction caller decision,frozen price,$5,full precision,none,none,HARDENED_TEST_HELPER
revision_helper,backend/mlb/scripts/cleanroom_v1/closeout_cleanroom_bol_tb15.py,immutable population+outcome hashes,n/a,FINAL excludes pending,n/a,n/a,n/a,n/a,content hashes,revision directory,none,JULY29_PRESENT_JULY30_NEUTRAL_GAP
manifest_writer,active closeout scripts,frozen package and source hashes,exact identities,explicit status,aggregate audit,explicit counts,frozen odds,$5,presentation only,revision field,none,PARTIAL
