canonical_field,family,source,grain,window,minimum_prior_games,target_game_excluded,season_reset,prior_season_carryover,missing_behavior,classification,model_input_eligible
prior_games,TEAM_STRENGTH,prior certified game outcome/summary shots,team-game broadcast to game side,prior schedule,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
std_gf_pg,TEAM_STRENGTH,prior certified game outcome/summary shots,team-game broadcast to game side,season-to-date,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
std_ga_pg,TEAM_STRENGTH,prior certified game outcome/summary shots,team-game broadcast to game side,season-to-date,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
std_goal_diff_pg,TEAM_STRENGTH,prior certified game outcome/summary shots,team-game broadcast to game side,season-to-date,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
std_sf_pg,TEAM_STRENGTH,prior certified game outcome/summary shots,team-game broadcast to game side,season-to-date,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
std_sa_pg,TEAM_STRENGTH,prior certified game outcome/summary shots,team-game broadcast to game side,season-to-date,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
std_shot_diff_pg,TEAM_STRENGTH,prior certified game outcome/summary shots,team-game broadcast to game side,season-to-date,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
r5_gf_pg,RECENT_FORM,prior certified game outcome/summary shots,team-game broadcast to game side,5 prior games,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
r5_ga_pg,RECENT_FORM,prior certified game outcome/summary shots,team-game broadcast to game side,5 prior games,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
r5_goal_diff_pg,RECENT_FORM,prior certified game outcome/summary shots,team-game broadcast to game side,5 prior games,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
r5_sf_pg,RECENT_FORM,prior certified game outcome/summary shots,team-game broadcast to game side,5 prior games,1,YES,YES,NO,NULL,EXACT_PRIOR_WITH_MIN_HISTORY_NULL for season 2023; bounded/date-blocked as labeled for season 2024,YES_WITH_STATUS_GATE
