book_name,provider_book_key,artifact_path,governing_run_tag,source_observation_timestamp,ingestion_timestamp,game_identity_fields,player_identity_fields,prop_type,line,side,american_odds,two_sided_market_availability,original_source_hash,current_audit_hash,classification
BetMGM,betmgm,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,local_daily_20260501T134007Z,2026-05-01T13:41:40Z,2026-05-01T13:42:53.301966+00:00,provider_event_id exact,exact provider description bound to frozen player identity,batter_total_bases,1.5,selected and opposite where present,preserved in attachment,True,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,EXACT_SAME_RUN_CONTEMPORANEOUS_PRICE
BetMGM,betmgm,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,local_daily_20260501T134007Z,2026-05-01T13:41:46Z,2026-05-01T13:42:53.301966+00:00,provider_event_id exact,exact provider description bound to frozen player identity,batter_total_bases,1.5,selected and opposite where present,preserved in attachment,True,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,EXACT_SAME_RUN_CONTEMPORANEOUS_PRICE
BetMGM,betmgm,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,local_daily_20260501T134007Z,2026-05-01T13:41:57Z,2026-05-01T13:42:53.301966+00:00,provider_event_id exact,exact provider description bound to frozen player identity,batter_total_bases,1.5,selected and opposite where present,preserved in attachment,True,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,EXACT_SAME_RUN_CONTEMPORANEOUS_PRICE
BetMGM,betmgm,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,local_daily_20260501T134007Z,2026-05-01T13:42:14Z,2026-05-01T13:42:53.301966+00:00,provider_event_id exact,exact provider description bound to frozen player identity,batter_total_bases,1.5,selected and opposite where present,preserved in attachment,True,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,EXACT_SAME_RUN_CONTEMPORANEOUS_PRICE
BetMGM,betmgm,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,local_daily_20260501T134007Z,2026-05-01T13:42:20Z,2026-05-01T13:42:53.301966+00:00,provider_event_id exact,exact provider description bound to frozen player identity,batter_total_bases,1.5,selected and opposite where present,preserved in attachment,True,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,EXACT_SAME_RUN_CONTEMPORANEOUS_PRICE
BetMGM,betmgm,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,local_daily_20260501T134007Z,2026-05-01T13:42:28Z,2026-05-01T13:42:53.301966+00:00,provider_event_id exact,exact provider description bound to frozen player identity,batter_total_bases,1.5,selected and opposite where present,preserved in attachment,True,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,EXACT_SAME_RUN_CONTEMPORANEOUS_PRICE
BetMGM,betmgm,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,local_daily_20260501T134007Z,2026-05-01T13:42:33Z,2026-05-01T13:42:53.301966+00:00,provider_event_id exact,exact provider description bound to frozen player identity,batter_total_bases,1.5,selected and opposite where present,preserved in attachment,True,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,EXACT_SAME_RUN_CONTEMPORANEOUS_PRICE
BetMGM,betmgm,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,local_daily_20260501T134007Z,2026-05-01T13:42:35Z,2026-05-01T13:42:53.301966+00:00,provider_event_id exact,exact provider description bound to frozen player identity,batter_total_bases,1.5,selected and opposite where present,preserved in attachment,True,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,EXACT_SAME_RUN_CONTEMPORANEOUS_PRICE
BetMGM,betmgm,backend/mlb/exports/odds_history/2026-05-01/odds_mlb_playerprops__local_daily_20260501T134007Z.json,local_daily_20260501T134007Z,2026-05-01T13:42:36Z,2026-05-01T13:42:53.301966+00:00,provider_event_id exact,exact provider description bound to frozen player identity,batter_total_bases,1.5,selected and opposite where present,preserved in attachment,True,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,ea0a30ae7ae2c3de5a4b104a4089a32adc1f3bcd68fd141a470d5e673ff43d94,EXACT_SAME_RUN_CONTEMPORANEOUS_PRICE
BetMGM,betmgm,backend/mlb/exports/odds_history/2026-05-02/odds_mlb_playerprops__local_daily_20260502T150407Z.json,local_daily_20260502T150407Z,2026-05-02T15:05:19Z,2026-05-02T15:07:25.171853+00:00,provider_event_id exact,exact provider description bound to frozen player identity,batter_total_bases,1.5,selected and opposite where present,preserved in attachment,True,594aee15ce4bbedefc7e567845e621ab98e625203777fb7c8ec1df724f461315,594aee15ce4bbedefc7e567845e621ab98e625203777fb7c8ec1df724f461315,EXACT_SAME_RUN_CONTEMPORANEOUS_PRICE
