date,lane,original_pregame_probabilities,retained_feature_player_games,recovery_state,probability_semantics,selected_side_complement_valid,feature_artifact,feature_sha256,caveat
2026-08-03,HITS05,158,128,ORIGINAL_PREGAME_PROBABILITY_RETAINED,direct p_over at line; Under is complement,YES,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,e4892751198ef3b598278eeab3a1316e90f8025e8c75132015eb154d28c64222,August 3 rows mix incumbent fallback and research candidate routing
2026-08-04,HITS05,0,226,INSUFFICIENT_STATE_FOR_REPLAY,direct p_over at line; Under is complement,YES,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-04/hits_features.csv,70572dbebaa53abdd0d4e3559d067a809b13518f1a80024665b2d4bd892460f4,state timestamp absent; replay not performed
2026-08-05,HITS05,0,47,INSUFFICIENT_STATE_FOR_REPLAY,direct p_over at line; Under is complement,YES,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-05/hits_features.csv,f5a05251d59cc99c04daf6a8b913a8c4e3c5799e01d34e1ac7fdd03113405dc6,state timestamp absent; replay not performed
2026-08-06,HITS05,0,72,INSUFFICIENT_STATE_FOR_REPLAY,direct p_over at line; Under is complement,YES,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-06/hits_features.csv,7c728fe7cd1d0fcdf9c253f45b6b63105af782a2b33867361f5e912a014d61ff,state timestamp absent; replay not performed
2026-08-07,HITS05,0,245,INSUFFICIENT_STATE_FOR_REPLAY,direct p_over at line; Under is complement,YES,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-07/hits_features.csv,7e15b1cf8ba98ca5c62c63a3fc905cfcfaf652275fc0c76a6538dce5523a8471,state timestamp absent; replay not performed
2026-08-08,HITS05,0,181,INSUFFICIENT_STATE_FOR_REPLAY,direct p_over at line; Under is complement,YES,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-08/hits_features.csv,f21c8e562a97a11930cff67b3f5bc0bdb40f5be6fe65459620c57ef6c0fd28de,state timestamp absent; replay not performed
2026-08-09,HITS05,0,17,INSUFFICIENT_STATE_FOR_REPLAY,direct p_over at line; Under is complement,YES,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-09/hits_features.csv,d38d6ab5a5ded2bb5f264ac84a5fd1456f09f9470532f168da7d81c4ed19685f,state timestamp absent; replay not performed
2026-08-10,HITS05,0,163,INSUFFICIENT_STATE_FOR_REPLAY,direct p_over at line; Under is complement,YES,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-10/hits_features.csv,7cd2b718b06b3e69af44d5ace668dbc8aa46b48eba7f638c3f7c58447d764790,state timestamp absent; replay not performed
2026-08-11,HITS05,0,225,INSUFFICIENT_STATE_FOR_REPLAY,direct p_over at line; Under is complement,YES,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-11/hits_features.csv,7f8de53368be1c17d57e20aeed08b58ec03bc72d6aea977d22edeff782e5b141,state timestamp absent; replay not performed
2026-08-12,HITS05,0,132,INSUFFICIENT_STATE_FOR_REPLAY,direct p_over at line; Under is complement,YES,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-12/hits_features.csv,c42d0d9603f93a0bea6ddb080f03efa7211442e283fc2663ceaad54d01181a9a,state timestamp absent; replay not performed
2026-08-13,HITS05,0,55,INSUFFICIENT_STATE_FOR_REPLAY,direct p_over at line; Under is complement,YES,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-13/hits_features.csv,e8d5773fc376adddf61da0237b051d1492141df1e47d011372385ed1e5df6310,state timestamp absent; replay not performed
