date,lane,retained_prediction_rows,semantic_model_id,exact_model_hash,feature_contract_hash,run_tag,timestamp,quality,current_model_canonical_rows
2026-08-03,HITS05,158,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,PRESENT,PRESENT,PRODUCER_PROVENANCE_ONLY,0
2026-08-03,HITS15_UNDER,20,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,PRESENT,PRESENT,PRODUCER_PROVENANCE_ONLY,0
2026-08-04,HITS05,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-04,HITS15_UNDER,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-05,HITS05,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-05,HITS15_UNDER,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-06,HITS05,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-06,HITS15_UNDER,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-07,HITS05,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-07,HITS15_UNDER,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-08,HITS05,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-08,HITS15_UNDER,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-09,HITS05,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-09,HITS15_UNDER,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-10,HITS05,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-10,HITS15_UNDER,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-11,HITS05,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-11,HITS15_UNDER,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-12,HITS05,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-12,HITS15_UNDER,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-13,HITS05,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
2026-08-13,HITS15_UNDER,0,ABSENT_FROM_ROW,ABSENT_OR_NONCURRENT_CANDIDATE_ONLY,ABSENT_FROM_ROW,NO_PREDICTION_RUN,ABSENT,PROVENANCE_UNRESOLVED,0
