date,hits05_prediction_rows,hits15_prediction_rows,model_probability,selected_side,line,player_game_identity,prediction_timestamp,semantic_model_id,model_hash,fitted_artifact_reference,feature_contract_hash,run_tag,strict_prior_state,lineup_starter_state,parent_feature_artifact,source_hash,exact_state_timestamp,betonline_hits05,betonline_hits15,official_completed_games,certified_outcome_artifact
2026-08-03,158,20,YES,YES,YES,YES,YES,NOT_EMBEDDED,MIXED_ROUTE_CANDIDATE_HASH_ONLY,CANDIDATE_ONLY,NOT_EMBEDDED,YES,RETAINED,NOT_REQUIRED_BY_INCUMBENT_ARTIFACT_AND_NOT_IN_PREPARED_VECTOR,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-03/hits_features.csv,e4892751198ef3b598278eeab3a1316e90f8025e8c75132015eb154d28c64222,ABSENT,64,13,8,mlb.player_stats durable official-derived rows; no gap-specific certification package
2026-08-04,0,0,NO,NO,YES,YES,NO,NOT_EMBEDDED,NO_PREDICTION,CURRENT_ARTIFACT_RETAINED_SEPARATELY,NOT_EMBEDDED,INFERRED_FROM_DAILY_CAPTURE_ONLY,RETAINED,NOT_REQUIRED_BY_INCUMBENT_ARTIFACT_AND_NOT_IN_PREPARED_VECTOR,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-04/hits_features.csv,70572dbebaa53abdd0d4e3559d067a809b13518f1a80024665b2d4bd892460f4,ABSENT,220,29,15,mlb.player_stats durable official-derived rows; no gap-specific certification package
2026-08-05,0,0,NO,NO,YES,YES,NO,NOT_EMBEDDED,NO_PREDICTION,CURRENT_ARTIFACT_RETAINED_SEPARATELY,NOT_EMBEDDED,INFERRED_FROM_DAILY_CAPTURE_ONLY,RETAINED,NOT_REQUIRED_BY_INCUMBENT_ARTIFACT_AND_NOT_IN_PREPARED_VECTOR,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-05/hits_features.csv,f5a05251d59cc99c04daf6a8b913a8c4e3c5799e01d34e1ac7fdd03113405dc6,ABSENT,69,1,15,mlb.player_stats durable official-derived rows; no gap-specific certification package
2026-08-06,0,0,NO,NO,YES,YES,NO,NOT_EMBEDDED,NO_PREDICTION,CURRENT_ARTIFACT_RETAINED_SEPARATELY,NOT_EMBEDDED,INFERRED_FROM_DAILY_CAPTURE_ONLY,RETAINED,NOT_REQUIRED_BY_INCUMBENT_ARTIFACT_AND_NOT_IN_PREPARED_VECTOR,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-06/hits_features.csv,7c728fe7cd1d0fcdf9c253f45b6b63105af782a2b33867361f5e912a014d61ff,ABSENT,158,27,11,mlb.player_stats durable official-derived rows; no gap-specific certification package
2026-08-07,0,0,NO,NO,YES,YES,NO,NOT_EMBEDDED,NO_PREDICTION,CURRENT_ARTIFACT_RETAINED_SEPARATELY,NOT_EMBEDDED,INFERRED_FROM_DAILY_CAPTURE_ONLY,RETAINED,NOT_REQUIRED_BY_INCUMBENT_ARTIFACT_AND_NOT_IN_PREPARED_VECTOR,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-07/hits_features.csv,7e15b1cf8ba98ca5c62c63a3fc905cfcfaf652275fc0c76a6538dce5523a8471,ABSENT,211,25,15,mlb.player_stats durable official-derived rows; no gap-specific certification package
2026-08-08,0,0,NO,NO,YES,YES,NO,NOT_EMBEDDED,NO_PREDICTION,CURRENT_ARTIFACT_RETAINED_SEPARATELY,NOT_EMBEDDED,INFERRED_FROM_DAILY_CAPTURE_ONLY,RETAINED,NOT_REQUIRED_BY_INCUMBENT_ARTIFACT_AND_NOT_IN_PREPARED_VECTOR,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-08/hits_features.csv,f21c8e562a97a11930cff67b3f5bc0bdb40f5be6fe65459620c57ef6c0fd28de,ABSENT,115,22,15,mlb.player_stats durable official-derived rows; no gap-specific certification package
2026-08-09,0,0,NO,NO,YES,YES,NO,NOT_EMBEDDED,NO_PREDICTION,CURRENT_ARTIFACT_RETAINED_SEPARATELY,NOT_EMBEDDED,INFERRED_FROM_DAILY_CAPTURE_ONLY,RETAINED,NOT_REQUIRED_BY_INCUMBENT_ARTIFACT_AND_NOT_IN_PREPARED_VECTOR,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-09/hits_features.csv,d38d6ab5a5ded2bb5f264ac84a5fd1456f09f9470532f168da7d81c4ed19685f,ABSENT,187,25,15,mlb.player_stats durable official-derived rows; no gap-specific certification package
2026-08-10,0,0,NO,NO,YES,YES,NO,NOT_EMBEDDED,NO_PREDICTION,CURRENT_ARTIFACT_RETAINED_SEPARATELY,NOT_EMBEDDED,INFERRED_FROM_DAILY_CAPTURE_ONLY,RETAINED,NOT_REQUIRED_BY_INCUMBENT_ARTIFACT_AND_NOT_IN_PREPARED_VECTOR,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-10/hits_features.csv,7cd2b718b06b3e69af44d5ace668dbc8aa46b48eba7f638c3f7c58447d764790,ABSENT,160,20,10,mlb.player_stats durable official-derived rows; no gap-specific certification package
2026-08-11,0,0,NO,NO,YES,YES,NO,NOT_EMBEDDED,NO_PREDICTION,CURRENT_ARTIFACT_RETAINED_SEPARATELY,NOT_EMBEDDED,INFERRED_FROM_DAILY_CAPTURE_ONLY,RETAINED,NOT_REQUIRED_BY_INCUMBENT_ARTIFACT_AND_NOT_IN_PREPARED_VECTOR,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-11/hits_features.csv,7f8de53368be1c17d57e20aeed08b58ec03bc72d6aea977d22edeff782e5b141,ABSENT,154,8,15,mlb.player_stats durable official-derived rows; no gap-specific certification package
2026-08-12,0,0,NO,NO,YES,YES,NO,NOT_EMBEDDED,NO_PREDICTION,CURRENT_ARTIFACT_RETAINED_SEPARATELY,NOT_EMBEDDED,INFERRED_FROM_DAILY_CAPTURE_ONLY,RETAINED,NOT_REQUIRED_BY_INCUMBENT_ARTIFACT_AND_NOT_IN_PREPARED_VECTOR,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-12/hits_features.csv,c42d0d9603f93a0bea6ddb080f03efa7211442e283fc2663ceaad54d01181a9a,ABSENT,67,5,15,mlb.player_stats durable official-derived rows; no gap-specific certification package
2026-08-13,0,0,NO,NO,YES,YES,NO,NOT_EMBEDDED,NO_PREDICTION,CURRENT_ARTIFACT_RETAINED_SEPARATELY,NOT_EMBEDDED,INFERRED_FROM_DAILY_CAPTURE_ONLY,RETAINED,NOT_REQUIRED_BY_INCUMBENT_ARTIFACT_AND_NOT_IN_PREPARED_VECTOR,backend/mlb/exports/model_diagnostics/prepared_feature_vectors/2026-08-13/hits_features.csv,e8d5773fc376adddf61da0237b051d1492141df1e47d011372385ed1e5df6310,ABSENT,155,9,9,mlb.player_stats durable official-derived rows; no gap-specific certification package
