date,lane,retained_candidate_player_games,completed_games,hit_outcomes_available,certified_outcomes_available,unresolved_outcomes,source,grading_block
2026-08-03,HITS05,158,8,139,0,19,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-03,HITS15_UNDER,20,8,19,0,1,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-04,HITS05,226,15,219,0,7,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-04,HITS15_UNDER,39,15,39,0,0,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-05,HITS05,47,15,43,0,4,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-05,HITS15_UNDER,10,15,10,0,0,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-06,HITS05,72,11,71,0,1,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-06,HITS15_UNDER,15,11,15,0,0,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-07,HITS05,245,15,239,0,6,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-07,HITS15_UNDER,25,15,25,0,0,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-08,HITS05,181,15,180,0,1,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-08,HITS15_UNDER,29,15,29,0,0,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-09,HITS05,17,15,16,0,1,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-09,HITS15_UNDER,2,15,2,0,0,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-10,HITS05,163,10,163,0,0,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-10,HITS15_UNDER,21,10,21,0,0,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-11,HITS05,225,15,225,0,0,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-11,HITS15_UNDER,39,15,38,0,1,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-12,HITS05,132,15,132,0,0,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-12,HITS15_UNDER,28,15,28,0,0,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-13,HITS05,55,9,54,0,1,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
2026-08-13,HITS15_UNDER,2,9,2,0,0,read-only mlb.player_stats identity join on 2026-08-14,gap-specific certified outcome artifact absent; no grading performed
