player_id,full_name,first_name,last_name,position,shoots_catches,team_abbr
"8484153","Leo Carlsson","Leo","Carlsson","F","L","ANA"
"8482118","Sam Colangelo","Sam","Colangelo","F","R","ANA"
"8483445","Cutter Gauthier","Cutter","Gauthier","F","L","ANA"
"8475798","Mikael Granlund","Mikael","Granlund","F","L","ANA"
"8478424","Jansen Harkins","Jansen","Harkins","F","L","ANA"
"8477527","Ross Johnston","Ross","Johnston","F","L","ANA"
"8473986","Alex Killorn","Alex","Killorn","F","L","ANA"
"8475184","Chris Kreider","Chris","Kreider","F","L","ANA"
"8482745","Mason McTavish","Mason","McTavish","F","L","ANA"
"8481754","Nikita Nesterenko","Nikita","Nesterenko","F","L","ANA"
"8480068","Ryan Poehling","Ryan","Poehling","F","L","ANA"
"8484762","Beckett Sennecke","Beckett","Sennecke","F","R","ANA"
"8476458","Ryan Strome","Ryan","Strome","F","R","ANA"
"8478873","Troy Terry","Troy","Terry","F","R","ANA"
"8478366","Frank Vatrano","Frank","Vatrano","F","L","ANA"
"8475462","Radko Gudas","Radko","Gudas","D","R","ANA"
"8481563","Drew Helleson","Drew","Helleson","D","R","ANA"
"8481605","Jackson LaCombe","Jackson","LaCombe","D","L","ANA"
"8483490","Pavel Mintyukov","Pavel","Mintyukov","D","L","ANA"
"8476885","Jacob Trouba","Jacob","Trouba","D","R","ANA"
"8482803","Olen Zellweger","Olen","Zellweger","D","L","ANA"
"8480843","Lukas Dostal","Lukas","Dostal","G","L","ANA"
"8478024","Ville Husso","Ville","Husso","G","L","ANA"
"8475852","Petr Mrazek","Petr","Mrazek","G","L","ANA"
"8478042","Viktor Arvidsson","Viktor","Arvidsson","F","R","BOS"
"8481556","John Beecher","John","Beecher","F","L","BOS"
"8479591","Michael Eyssimont","Michael","Eyssimont","F","L","BOS"
"8479987","Morgan Geekie","Morgan","Geekie","F","R","BOS"
"8479661","Tanner Jeannot","Tanner","Jeannot","F","L","BOS"
"8480355","Mark Kastelic","Mark","Kastelic","F","R","BOS"
"8482177","Marat Khusnutdinov","Marat","Khusnutdinov","F","L","BOS"
"8476374","Sean Kuraly","Sean","Kuraly","F","L","BOS"
"8477496","Elias Lindholm","Elias","Lindholm","F","R","BOS"
"8483489","Fraser Minten","Fraser","Minten","F","L","BOS"
"8479999","Casey Mittelstadt","Casey","Mittelstadt","F","L","BOS"
"8477956","David Pastrnak","David","Pastrnak","F","R","BOS"
"8479705","Jeffrey Viel","Jeffrey","Viel","F","L","BOS"
"8478401","Pavel Zacha","Pavel","Zacha","F","L","BOS"
"8480887","Jordan Harris","Jordan","Harris","D","L","BOS"
"8480035","Henri Jokiharju","Henri","Jokiharju","D","R","BOS"
"8476854","Hampus Lindholm","Hampus","Lindholm","D","L","BOS"
"8482511","Mason Lohrei","Mason","Lohrei","D","L","BOS"
"8479325","Charlie McAvoy","Charlie","McAvoy","D","R","BOS"
"8479369","Andrew Peeke","Andrew","Peeke","D","R","BOS"
"8477507","Nikita Zadorov","Nikita","Zadorov","D","L","BOS"
"8476914","Joonas Korpisalo","Joonas","Korpisalo","G","L","BOS"
"8480280","Jeremy Swayman","Jeremy","Swayman","G","L","BOS"
"8484145","Zach Benson","Zach","Benson","F","L","BUF"
"8479941","Justin Danforth","Justin","Danforth","F","R","BUF"
"8482659","Josh Doan","Josh","Doan","F","R","BUF"
"8477419","Mason Geertsen","Mason","Geertsen","F","L","BUF"
"8482896","Tyson Kozak","Tyson","Kozak","F","L","BUF"
"8481522","Peyton Krebs","Peyton","Krebs","F","L","BUF"
"8483468","Jiri Kulich","Jiri","Kulich","F","L","BUF"
"8479359","Beck Malenstyn","Beck","Malenstyn","F","L","BUF"
"8480802","Ryan McLeod","Ryan","McLeod","F","L","BUF"
"8480064","Josh Norris","Josh","Norris","F","L","BUF"
"8482097","Jack Quinn","Jack","Quinn","F","R","BUF"
"8479420","Tage Thompson","Tage","Thompson","F","R","BUF"
"8477949","Alex Tuch","Alex","Tuch","F","R","BUF"
"8475722","Jason Zucker","Jason","Zucker","F","L","BUF"
"8480196","Jacob Bryson","Jacob","Bryson","D","L","BUF"
"8481524","Bowen Byram","Bowen","Byram","D","L","BUF"
"8480839","Rasmus Dahlin","Rasmus","Dahlin","D","L","BUF"
"8481564","Ryan Johnson","Ryan","Johnson","D","L","BUF"
"8480891","Michael Kesselring","Michael","Kesselring","D","R","BUF"
"8482671","Owen Power","Owen","Power","D","L","BUF"
"8480807","Mattias Samuelsson","Mattias","Samuelsson","D","L","BUF"
"8479982","Conor Timmins","Conor","Timmins","D","R","BUF"
"8481551","Colten Ellis","Colten","Ellis","G","L","BUF"
"8480045","Ukko-Pekka Luukkonen","Ukko-Pekka","Luukkonen","G","L","BUF"
"8479312","Alex Lyon","Alex","Lyon","G","L","BUF"
"8478427","Sebastian Aho","Sebastian","Aho","F","L","CAR"
"8482809","Jackson Blake","Jackson","Blake","F","R","CAR"
"8477478","William Carrier","William","Carrier","F","L","CAR"
"8477940","Nikolaj Ehlers","Nikolaj","Ehlers","F","L","CAR"
"8475791","Taylor Hall","Taylor","Hall","F","L","CAR"
"8476873","Mark Jankowski","Mark","Jankowski","F","L","CAR"
"8482093","Seth Jarvis","Seth","Jarvis","F","R","CAR"
"8480829","Jesperi Kotkaniemi","Jesperi","Kotkaniemi","F","L","CAR"
"8476921","Jordan Martinook","Jordan","Martinook","F","L","CAR"
"8480762","Eric Robinson","Eric","Robinson","F","L","CAR"
"8473533","Jordan Staal","Jordan","Staal","F","L","CAR"
"8482702","Logan Stankoven","Logan","Stankoven","F","R","CAR"
"8480830","Andrei Svechnikov","Andrei","Svechnikov","F","L","CAR"
"8478970","Jalen Chatfield","Jalen","Chatfield","D","R","CAR"
"8476906","Shayne Gostisbehere","Shayne","Gostisbehere","D","L","CAR"
"8484428","Charles Alexis Legault","Charles Alexis","Legault","D","R","CAR"
"8480817","K'Andre Miller","K'Andre","Miller","D","L","CAR"
"8482100","Alexander Nikishin","Alexander","Nikishin","D","L","CAR"
"8476422","Mike Reilly","Mike","Reilly","D","L","CAR"
"8476958","Jaccob Slavin","Jaccob","Slavin","D","L","CAR"
"8480336","Sean Walker","Sean","Walker","D","R","CAR"
"8475883","Frederik Andersen","Frederik","Andersen","G","L","CAR"
"8483548","Brandon Bussi","Brandon","Bussi","G","R","CAR"
"8481611","Pyotr Kochetkov","Pyotr","Kochetkov","G","L","CAR"
"8479944","Zachary Aston-Reese","Zachary","Aston-Reese","F","L","CBJ"
"8482475","Yegor Chinakhov","Yegor","Chinakhov","F","L","CBJ"
"8475745","Charlie Coyle","Charlie","Coyle","F","R","CBJ"
"8484166","Adam Fantilli","Adam","Fantilli","F","L","CBJ"
"8476432","Boone Jenner","Boone","Jenner","F","L","CBJ"
