candidate_id,features_pipe,aggregate_mae_delta,aggregate_crps_delta,aggregate_brier_delta,aggregate_log_loss_delta,aggregate_mae_interaction_residual,aggregate_crps_interaction_residual,conditional_dependence,reason
S2_01,home_offense|away_offense,0.0002517856644770333,-0.0012176901972034138,-0.00017114732203149519,-0.0004013203148454103,1.645835382024785e-05,2.139252933508473e-05,NO,joint behavior does not cross the predeclared conditional-dependence gates
S2_02,home_prevention|away_prevention,-0.004624204464639181,-0.0014162628306770841,-0.00012220476692484383,-0.00021906040486918688,-0.0001717997672670002,-3.725606550686322e-05,NO,joint behavior does not cross the predeclared conditional-dependence gates
S2_03,home_starter_ra9|away_starter_ra9,0.0042659063575047895,0.0009997482094452614,0.0001256407818105154,0.00025382763060077806,0.00011937506011205912,7.45408602043085e-06,NO,joint behavior does not cross the predeclared conditional-dependence gates
S2_04,home_starter_prior_starts|away_starter_prior_starts,-0.007527243443980147,0.009924205563642818,0.0009784447792751394,0.0023428294839304975,0.0004611618695813391,0.00029732704411022937,NO,joint behavior does not cross the predeclared conditional-dependence gates
S2_05,home_expected_outs|away_expected_outs,0.0007008158176247115,0.0007960246566023343,7.700310764896523e-05,0.0001953978483832941,-4.3988246282822274e-05,-3.8205000771895925e-06,NO,joint behavior does not cross the predeclared conditional-dependence gates
S2_06,home_bullpen_ra9|away_bullpen_ra9,0.0043055443453332565,0.002540517301200307,0.00027190228580614706,0.0005735375586866098,-0.00024230204174724435,-4.341348471559314e-05,NO,joint behavior does not cross the predeclared conditional-dependence gates
S2_07,home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count,-0.005669337851697431,-0.0042666120142556,-0.0004952386603844228,-0.0011281813886923064,-0.00031320484641428337,-0.0001648202794508613,NO,joint behavior does not cross the predeclared conditional-dependence gates
S2_08,home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden,-0.0010257010674945555,-0.0006351345630362104,-6.931375582489019e-05,-0.00016407647887906052,-4.7492130203607985e-05,-2.0276100953786624e-05,NO,joint behavior does not cross the predeclared conditional-dependence gates
S2_09,home_prevention|home_bullpen_ra9,-0.000748337320710224,0.00011508805377058451,1.9492089849443284e-05,5.2876157134007506e-05,-0.0012568497039229243,-0.0007525479590713147,NO,joint behavior does not cross the predeclared conditional-dependence gates
S2_10,away_prevention|away_bullpen_ra9,-0.0010160265756442577,-8.739306356897458e-05,4.705819319467119e-06,9.429987162579145e-06,-0.0006029558821398773,-0.00042468107147275447,NO,joint behavior does not cross the predeclared conditional-dependence gates
S2_11,home_prevention|strict_prior_total_run_factor,0.02548066782891878,0.011240094706084669,0.001247242511347335,0.0025697117754905907,-0.005439297524814535,-0.003863275264558208,YES,joint behavior materially differs from constituent single-feature behavior
S2_12,home_bullpen_ra9|strict_prior_total_run_factor,0.040835742420855414,0.020816237191885634,0.002350003449160837,0.0050197457703330395,0.004257525465886314,0.0033399599887675713,NO,joint behavior does not cross the predeclared conditional-dependence gates
S2_13,home_offense|strict_prior_total_run_factor,0.03288889587332022,0.01457497154210774,0.0015922436924240835,0.0033071252709360177,-0.0013755335716996164,-0.0013407739470325808,NO,joint behavior does not cross the predeclared conditional-dependence gates
S2_14,strict_prior_total_run_factor|park_history_depth,0.1225896781227469,0.022762364658850398,0.0027965024540782257,0.005650391900883678,0.011117523951646557,0.00851374966026297,MIXED,material conditional effect changes sign across periods
S2_15,home_starter_prior_starts|away_starter_prior_starts|park_history_depth,0.03981826504906172,-0.011353287975732318,-0.0011550790791388377,-0.0029146445703435164,-0.030170648845732284,-0.019372775913392815,YES,joint behavior materially differs from constituent single-feature behavior
