starter_game_side_key,authoritative_owner,source_package,source_file,source_sha,source_row_key,source_field,source_grain,target_grain,temporal_cutoff,field_version,data_type,nullable,exact_saved_value,target_qualification_state_field,admission_or_join_rule
2026-07-01|823767|CIN|MIL,mlb_starter_skill_workload_reconstruction_2026_07_11,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15/exact_3_side_manifest_2026-07-15.csv,6ac3913b9173b1068fca5f0bed8d6decc0d7d5d9c7138e0e678f9d547fecc1bd,2026-07-01|823767|CIN|MIL,actual_starter_player_id,starter_game_side,selected_proposition_denominator_row_via_side_binding,2026-06-30,production_starter_parent_existing_saved_value,int/string,false,671096.0,actual_starter_player_id,join governed row starter_game_side_key to certified side starter_game_side_key; preserve value byte-for-byte
2026-07-01|823767|CIN|MIL,mlb_starter_skill_workload_reconstruction_2026_07_11,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15/exact_3_side_manifest_2026-07-15.csv,6ac3913b9173b1068fca5f0bed8d6decc0d7d5d9c7138e0e678f9d547fecc1bd,2026-07-01|823767|CIN|MIL,prior_start_count,starter_game_side,selected_proposition_denominator_row_via_side_binding,2026-06-30,production_starter_parent_existing_saved_value,integer,false,30,prior_start_count,join governed row starter_game_side_key to certified side starter_game_side_key; preserve value byte-for-byte
2026-07-01|823767|CIN|MIL,mlb_starter_skill_workload_reconstruction_2026_07_11,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15/exact_3_side_manifest_2026-07-15.csv,6ac3913b9173b1068fca5f0bed8d6decc0d7d5d9c7138e0e678f9d547fecc1bd,2026-07-01|823767|CIN|MIL,strict_prior_status,starter_game_side,selected_proposition_denominator_row_via_side_binding,2026-06-30,production_starter_parent_existing_saved_value,string,false,PASS_STRICT_PRIOR,strict_prior_status,join governed row starter_game_side_key to certified side starter_game_side_key; preserve value byte-for-byte
2026-07-01|823767|CIN|MIL,mlb_starter_skill_workload_reconstruction_2026_07_11,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15/exact_3_side_manifest_2026-07-15.csv,6ac3913b9173b1068fca5f0bed8d6decc0d7d5d9c7138e0e678f9d547fecc1bd,2026-07-01|823767|CIN|MIL,expected_hits_outs_v1,starter_game_side,selected_proposition_denominator_row_via_side_binding,2026-06-30,production_starter_parent_existing_saved_value,float,false,4.905116579886695,expected_hits_outs_v1,join governed row starter_game_side_key to certified side starter_game_side_key; preserve value byte-for-byte
2026-07-01|823767|CIN|MIL,mlb_starter_skill_workload_reconstruction_2026_07_11,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15/exact_3_side_manifest_2026-07-15.csv,6ac3913b9173b1068fca5f0bed8d6decc0d7d5d9c7138e0e678f9d547fecc1bd,2026-07-01|823767|CIN|MIL,workload_confidence,starter_game_side,selected_proposition_denominator_row_via_side_binding,2026-06-30,production_starter_parent_existing_saved_value,string,false,high,workload_confidence,join governed row starter_game_side_key to certified side starter_game_side_key; preserve value byte-for-byte
2026-07-01|823767|CIN|MIL,mlb_starter_skill_workload_reconstruction_2026_07_11,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15/exact_3_side_manifest_2026-07-15.csv,6ac3913b9173b1068fca5f0bed8d6decc0d7d5d9c7138e0e678f9d547fecc1bd,2026-07-01|823767|CIN|MIL,starter_identity_status,starter_game_side,selected_proposition_denominator_row_via_side_binding,2026-06-30,production_starter_parent_existing_saved_value,string,false,expected_starter_confirmed_actual_starter,starter_identity_status,join governed row starter_game_side_key to certified side starter_game_side_key; preserve value byte-for-byte
2026-07-01|823767|CIN|MIL,mlb_starter_skill_workload_reconstruction_2026_07_11,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15/exact_3_side_manifest_2026-07-15.csv,6ac3913b9173b1068fca5f0bed8d6decc0d7d5d9c7138e0e678f9d547fecc1bd,2026-07-01|823767|CIN|MIL,role_confidence,starter_game_side,selected_proposition_denominator_row_via_side_binding,2026-06-30,production_starter_parent_existing_saved_value,string,false,high,role_confidence,join governed row starter_game_side_key to certified side starter_game_side_key; preserve value byte-for-byte
2026-07-01|823767|CIN|MIL,mlb_starter_skill_workload_reconstruction_2026_07_11,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15/exact_3_side_manifest_2026-07-15.csv,6ac3913b9173b1068fca5f0bed8d6decc0d7d5d9c7138e0e678f9d547fecc1bd,2026-07-01|823767|CIN|MIL,pitcher_base,starter_game_side,selected_proposition_denominator_row_via_side_binding,2026-06-30,production_starter_parent_existing_saved_value,float,false,4.877394636015323,pitcher_base,join governed row starter_game_side_key to certified side starter_game_side_key; preserve value byte-for-byte
2026-07-01|823767|CIN|MIL,mlb_starter_skill_workload_reconstruction_2026_07_11,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15/exact_3_side_manifest_2026-07-15.csv,6ac3913b9173b1068fca5f0bed8d6decc0d7d5d9c7138e0e678f9d547fecc1bd,2026-07-01|823767|CIN|MIL,expected_hits_outs_v1,starter_game_side,selected_proposition_denominator_row_via_side_binding,2026-06-30,production_starter_parent_existing_saved_value,float,false,4.905116579886695,expected_hits_outs_v1,join governed row starter_game_side_key to certified side starter_game_side_key; preserve value byte-for-byte
2026-07-01|823767|CIN|MIL,mlb_starter_skill_workload_reconstruction_2026_07_11,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15/exact_3_side_manifest_2026-07-15.csv,6ac3913b9173b1068fca5f0bed8d6decc0d7d5d9c7138e0e678f9d547fecc1bd,2026-07-01|823767|CIN|MIL,offense_factor_vs_league_clamped,starter_game_side,selected_proposition_denominator_row_via_side_binding,2026-06-30,production_starter_parent_existing_saved_value,float,false,1.0573231145888142,offense_factor_vs_league_clamped,join governed row starter_game_side_key to certified side starter_game_side_key; preserve value byte-for-byte
2026-07-01|823767|CIN|MIL,mlb_starter_skill_workload_reconstruction_2026_07_11,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15/exact_3_side_manifest_2026-07-15.csv,6ac3913b9173b1068fca5f0bed8d6decc0d7d5d9c7138e0e678f9d547fecc1bd,2026-07-01|823767|CIN|MIL,starter_expected_hits_allowed,starter_game_side,selected_proposition_denominator_row_via_side_binding,2026-06-30,production_starter_parent_existing_saved_value,float,false,5.156982087630497,starter_expected_hits_allowed,join governed row starter_game_side_key to certified side starter_game_side_key; preserve value byte-for-byte
2026-07-01|823767|CIN|MIL,mlb_starter_skill_workload_reconstruction_2026_07_11,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15/exact_3_side_manifest_2026-07-15.csv,6ac3913b9173b1068fca5f0bed8d6decc0d7d5d9c7138e0e678f9d547fecc1bd,2026-07-01|823767|CIN|MIL,actual_starter_role,starter_game_side,selected_proposition_denominator_row_via_side_binding,2026-06-30,production_starter_parent_existing_saved_value,string,false,conventional_starter,actual_starter_role,join governed row starter_game_side_key to certified side starter_game_side_key; preserve value byte-for-byte
2026-07-03|824904|ATL|NYM,mlb_starter_skill_workload_reconstruction_2026_07_11,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15,artifacts/analysis/model_development/mlb_historical_selected_proposition_other_starter_parent_gap_investigation/2026-07-15/exact_3_side_manifest_2026-07-15.csv,6ac3913b9173b1068fca5f0bed8d6decc0d7d5d9c7138e0e678f9d547fecc1bd,2026-07-03|824904|ATL|NYM,actual_starter_player_id,starter_game_side,selected_proposition_denominator_row_via_side_binding,2026-07-02,production_starter_parent_existing_saved_value,int/string,false,656550.0,actual_starter_player_id,join governed row starter_game_side_key to certified side starter_game_side_key; preserve value byte-for-byte
