ordinal,exact_field_name,coefficient,coefficient_sign,coefficient_magnitude,training_mean,training_standard_deviation,centering_scaling,input_form,missing_fallback_treatment,source_artifact_or_table,construction_definition,strict_prior_status,primary_conceptual_role,secondary_role,current_live_interpretation
1,league_total,-0.01265250483616578,NEGATIVE,0.01265250483616578,9.12713348290902,0.11622389197806818,z=(x-9.12713348290902)/0.11622389197806818,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Fatal if governed historical core is unavailable; no row-level imputation.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/totals_core_feature_spine.csv,Mean official final total runs over the governed historical core available before the scored slate.,STRICT_PRIOR,LEAGUE/ENVIRONMENT,STRICT_PRIOR_RUN_ENVIRONMENT,Counterintuitive/confounded: a +1 SD higher league run environment lowers log expected runs.
2,home_offense,0.01438300487029133,POSITIVE,0.01438300487029133,4.570371380309777,0.6330104783604718,z=(x-4.570371380309777)/0.6330104783604718,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Unseen home team falls back to governed league home scoring mean.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/totals_core_feature_spine.csv,Home team's governed strict-prior mean runs scored state.,STRICT_PRIOR,TEAM_OFFENSE,HOME_RUN_SCORING_STATE,Higher home scoring state raises expected runs.
3,home_prevention,-0.013582351836678185,NEGATIVE,0.013582351836678185,4.558559917513907,0.6423759599340648,z=(x-4.558559917513907)/0.6423759599340648,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Unseen home team falls back to governed league away scoring mean.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/totals_core_feature_spine.csv,Home team's governed strict-prior mean runs allowed state.,STRICT_PRIOR,TEAM_OFFENSE,HOME_RUN_PREVENTION_STATE,Counterintuitive/confounded for a runs-allowed state: worse home prevention lowers expected runs.
4,away_offense,0.013564475744245507,POSITIVE,0.013564475744245507,4.559919885143778,0.6138253712323717,z=(x-4.559919885143778)/0.6138253712323717,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Unseen away team falls back to governed league away scoring mean.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/totals_core_feature_spine.csv,Away team's governed strict-prior mean runs scored state.,STRICT_PRIOR,TEAM_OFFENSE,AWAY_RUN_SCORING_STATE,Higher away scoring state raises expected runs.
5,away_prevention,-0.013586090275206979,NEGATIVE,0.013586090275206979,4.567582879203796,0.672491566445702,z=(x-4.567582879203796)/0.672491566445702,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Unseen away team falls back to governed league home scoring mean.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/totals_core_feature_spine.csv,Away team's governed strict-prior mean runs allowed state.,STRICT_PRIOR,TEAM_OFFENSE,AWAY_RUN_PREVENTION_STATE,Counterintuitive/confounded for a runs-allowed state: worse away prevention lowers expected runs.
6,home_starter_ra9,0.013753975761015624,POSITIVE,0.013753975761015624,4.621325646023378,2.3152757588117585,z=(x-4.621325646023378)/2.3152757588117585,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Unresolved probable identity fails closed; sparse known starter uses governed role/team/league workload fallback; no-outs RA9 uses league_total/2.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,27 * strict-prior runs allowed / strict-prior outs for the home probable starter; league half-total fallback when no usable outs.,STRICT_PRIOR,STARTER_QUALITY,HOME_STARTER,Higher home-starter runs allowed raises expected runs.
7,away_starter_ra9,0.006799765020473005,POSITIVE,0.006799765020473005,4.567044285917361,2.1739521611910138,z=(x-4.567044285917361)/2.1739521611910138,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Unresolved probable identity fails closed; sparse known starter uses governed role/team/league workload fallback; no-outs RA9 uses league_total/2.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,27 * strict-prior runs allowed / strict-prior outs for the away probable starter; league half-total fallback when no usable outs.,STRICT_PRIOR,STARTER_QUALITY,AWAY_STARTER,Higher away-starter runs allowed raises expected runs.
8,home_starter_prior_starts,0.012677233712015375,POSITIVE,0.012677233712015375,18.73677711463264,15.546598179262267,z=(x-18.73677711463264)/15.546598179262267,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Zero is valid; unresolved probable identity fails closed; the same count governs starter fallback tier.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,Count of home probable pitcher's strict-prior MLB starts.,STRICT_PRIOR,STARTER_WORKLOAD/HISTORY,HISTORY_DEPTH_AND_FALLBACK_CONFIDENCE,More home-starter prior starts directly raises expected runs; structural sample-depth concern.
9,away_starter_prior_starts,0.0008268356527004493,POSITIVE,0.0008268356527004493,18.666803869108872,15.472110456847977,z=(x-18.666803869108872)/15.472110456847977,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Zero is valid; unresolved probable identity fails closed; the same count governs starter fallback tier.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,Count of away probable pitcher's strict-prior MLB starts.,STRICT_PRIOR,STARTER_WORKLOAD/HISTORY,HISTORY_DEPTH_AND_FALLBACK_CONFIDENCE,More away-starter prior starts very slightly raises expected runs; structural sample-depth concern.
10,home_expected_outs,-0.011065970207803344,NEGATIVE,0.011065970207803344,15.678414157977553,3.0192965685908484,z=(x-15.678414157977553)/3.0192965685908484,RAW_NUMERIC_INPUT_THEN_STANDARDIZED; NO_FEATURE_LOG_TRANSFORM,Last 3 direct starts; else 1-2 direct; else last 20 team starts; else last 200 league starts; final synthetic 15 outs.,artifacts/analysis/model_development/mlb_totals_feature_spine_v1/2026-08-06/strict_prior_starter_state.csv + expected_starter_workload.csv + artifacts/raw/mlb/totals_feature_spine_v1/boxscore/*.json.gz,"Mean outs from governed home starter workload base, clipped to [3,27].",STRICT_PRIOR,STARTER_WORKLOAD/HISTORY,EXPECTED_HOME_STARTER_WORKLOAD,A deeper expected home start lowers expected runs.
