relative_path,bytes,sha256
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/concise_mlb_totals_c_12_cluster_formal_forward_review_v1.md,3060,b8c7c2dcddf97c9cbb861abab93ad589b007e85de81796a7004307c2c718b272
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/reproducibility_hashes.json,1202,6a73d6226ac30bd692ce22306cbd7d90c6b7522cca1855ecb530cab9e3cb4cad
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/review_decisions.json,1363,1f3e2d8c3e84c91386b461b1cbc2c2059e588c4e1df2ffc8fd37d5e35e570619
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_8_cluster_reproduction.csv,4212,682268a359dfed392ca942a24973ade61b20f7fe9fc89432ded856e868b8e495
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_baseline_comparison.csv,708,b4281482f742513105a7d43bc7ace4792c3fe40c09817fc9194e95c861d522e0
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_bias_review.csv,1197,289b38ebee21bc04ae9cb5d9d2ccac097565f95051fbc9f53612bcf0744450bb
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_checkpoint_decision.md,157,27f190d761d56f2f0309c31505d78f3ae9202e48eb935d0be86b4fd2e49139ff
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_clustered_uncertainty.csv,1883,4d47785143c2732d5d76b0d74214955157888b2c4f5a192edb3a03ab7c3b66dd
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_cumulative_trajectory.csv,8151,06c961b3d30d28dccfa82073772b5bb2bb335c8107a31e2138f2a1d3b15458e7
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_daily_metrics.csv,8622,b617976846ac55450f472e1f2ae324abd3337df8e15e067a9ecdb1895744ecab
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_directional_disagreement.csv,504,01c20daa140872450222105dba07b37bf6cb4c9386a619a0136225aa397b033f
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_distribution_metrics.csv,632,79cdcc03bf5fe51f3edbdd3d870ea01f5008893ba2409d4c224397a22a2c99d1
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_first8_vs_next4.csv,1718,6ee9f6a3e9cba851fd884976a23e7c0e299789e2fa59295e8569932fdafe45d0
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_incremental_information.csv,726,2bd19b3eb15349914b6bb80395ebb6c4384553aa8cad1503a71c4fc53d3d172e
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_input_parity.csv,10981,2814124cf30be8d671bb725e4e68286c6d47ff5ee8ea80902b9a9987a5c95b0c
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_lodo.csv,8229,17f9440efdee3933ea01a7b9e672fd3c2ffc9fc0c3b4d2bb1214fb9893318574
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_market_independence.md,380,4a92771025c48e83341c5a49f95a95e770c7c51a6bd3d11c96e871ad536a84bb
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_market_parity.csv,1025,35fcdc3dd513b4c2747691366fcf6ff56dcf8e068c6f7a6eec6166848eda045e
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_market_parity_stability.csv,642,a2e3a91a23d8d956f0d97788ab40dcd9cd9efc7359116390203b7d234f8c318d
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_model_identity.json,2328,8731d9b3e02ca9d975103882d59ae371656c8009961c918da98d5d28623b538f
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_next_step.md,334,78e1f812ea3ca60303801eb3fa59864a8ccefae518698c4b4bce7b38bbdb664e
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_pinnacle_timing.csv,80259,db62003b0c13900798d17d88582944c92ede4ac93325d751081f1bb39e26890c
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_point_metrics.csv,786,810013775249b11e2160218b474e965ab43390825b38fba73cbd011a0cc1f80d
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_point_summary_review.csv,306,666d3d2c57a44df3570c77b8eb45c03654f4fa16b05733ad83a222ec17407cb7
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_population.csv,240076,4672746085324c285a969ccbc742f0b59520140efa45dee07ad624abae0d22fe
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_probability_relationship.csv,219,e4e6e6a92fa7be510b651d9a0f2b5378ea57f61c7d4ef153f6210a9ec3c4411b
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_public_readiness.md,115,f4fead5e6698da1b80cd280f5b99d1b048b80d3ada8b5c62e652e15016cee1c4
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_raw_challenger_decision.md,160,1f695ea4edfa51acc9ecf98208b7fe1ef24863719dfd667578857b8e983462dc
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_separation_bands.csv,834,ecb71d89ef452e32894c91ff8ce1fdb820ec8c4e03b2e69c5e77edbd93c88b55
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_standalone_status.md,238,d91eae6ba6fa34de99bd9db3ee8e278a6bd57cbd41efab4d2904677cc966580a
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_structural_validation.md,548,350dcd0eb0d784bc8f16fff0f718bf14cc59139e6ce764e8243806cce834295b
artifacts/analysis/model_development/mlb_totals_c_12_cluster_formal_forward_review_v1/2026-08-29/totals_c_12_cluster_total_separation.csv,237,8b6567512b954bc173ed610c9697973fb3713da1da08b57f7a278ed63e18f02a
