month,evidence_regime,provenance_tier,timing_quality,model_generation,predictions,resolved,unresolved
2026-03,REGIME_A_EARLY_TIMING_WEAK,TIER_B,PREGAME_LIKELY_TIMING_NOT_EXACT,LEGACY_PRE_MAY8_GENERATION_UNRESOLVED,1126,1083,43
2026-04,REGIME_A_EARLY_TIMING_WEAK,TIER_B,PREGAME_LIKELY_TIMING_NOT_EXACT,LEGACY_PRE_MAY8_GENERATION_UNRESOLVED,4131,3958,173
2026-05,REGIME_A_EARLY_TIMING_WEAK,TIER_B,PREGAME_LIKELY_TIMING_NOT_EXACT,LEGACY_PRE_MAY8_GENERATION_UNRESOLVED,1772,1607,165
2026-05,REGIME_B_STRICT_TIMED_HISTORICAL,TIER_B,STRICT_PREGAME_PROVEN,GEN_20260426,2080,1904,176
2026-05,REGIME_B_STRICT_TIMED_HISTORICAL,TIER_B,STRICT_PREGAME_PROVEN,GEN_20260521,1000,914,86
2026-05,REGIME_B_STRICT_TIMED_HISTORICAL,TIER_B,STRICT_PREGAME_PROVEN,GEN_20260528,434,399,35
2026-06,REGIME_B_STRICT_TIMED_HISTORICAL,TIER_B,STRICT_PREGAME_PROVEN,GEN_20260528,626,574,52
2026-06,REGIME_B_STRICT_TIMED_HISTORICAL,TIER_B,STRICT_PREGAME_PROVEN,GEN_20260604,1012,913,99
2026-06,REGIME_B_STRICT_TIMED_HISTORICAL,TIER_B,STRICT_PREGAME_PROVEN,GEN_20260611,4989,4483,506
2026-07,REGIME_B_STRICT_TIMED_HISTORICAL,TIER_B,STRICT_PREGAME_PROVEN,GEN_20260611,1963,1784,179
2026-07,REGIME_B_STRICT_TIMED_HISTORICAL,TIER_B,STRICT_PREGAME_PROVEN,GEN_20260709_CURRENT_BYTE_IDENTICAL,4759,4337,422
2026-08,REGIME_B_STRICT_TIMED_HISTORICAL,TIER_B,STRICT_PREGAME_PROVEN,GEN_20260709_CURRENT_BYTE_IDENTICAL,593,528,65
2026-08,REGIME_C_APPEND_ONLY_PROSPECTIVE_LINEAGE,TIER_A,STRICT_PREGAME_PROVEN,GEN_20260709_CURRENT_BYTE_IDENTICAL,2682,2483,199
