file,sha256
concise_mlb_hits05_2026_season_to_date_evidence_v1.md,e28fa2e492b105746a191d9b1f69af33eb25b4b1402abaceb2b554bdd3222d03
hits05_august_continuity_comparison.csv,9b6a31e0556e7bcf40efbd04b69735b94e699d34a872c5fdce80b6b291bd1687
hits05_authoritative_source_map.csv,4a878ca37258253659689dfaba7eb19db8c5cafc9d7ba8b06bce3a2ed7764043
hits05_betonline_season_parity.csv,ddf9c69331757da704553fd2049c83f938c416c2dd541ee086c3072b491c19b3
hits05_certification_readiness.md,42311a17072c372bdf77db8035e2a2f98a255d419bc9bcc04f009fe23f0a274d
hits05_confidence_ordering.csv,338cf4596d8f7f526408a22c857cb264e2aceb81790ce77ef8ea4d6dda7f58a3
hits05_high_confidence_behavior.csv,0b175ecc4b43123dca7502da427d8b8162382b58c45ef1cda4189c155f7eda42
hits05_model_generation_map.csv,22fe3f6c93cdef42febaf3d2c716a84922dcd3ad7a399d7a59388453e99381db
hits05_model_generation_metrics.csv,16d7bd74cad9572d07c64af1310af975c0dafc433cabbf6c62108d82b8ac1e77
hits05_monthly_metrics.csv,a962ad71fbe030f84cc4a6dad1bf9e1ba323c9c9cbb651ed23c5bbcb7da8f5c5
hits05_prior_full_board_reference_reconciliation.md,d070f82f87add3029fb75a30467ba049cec17a9c52da81911a32dade35134309
hits05_regime_metrics.csv,b7b251501ac2fe1033590a20f310eea2c5f616a5dd848b19c5ba435ec1667c98
hits05_reliability.csv,9764f0d6740313c64c2f14e21168f56a5b710d336d08490a39c5c066bbb87c54
hits05_season_outcome_attachment.csv,7774724cb3bb9368b5c69c23786a7499c3c9d257d4c9b55c7fe012821cb38e7b
hits05_season_population_summary.csv,2156e77fea4be2d6ce7500df2effd3adeaba4fe40721c05a8306009a3d884be3
hits05_season_prediction_inventory.csv,e98001f94567f5d85b91d6ee372fbd9328ba78a26fccc45cee5d95ecb2b0f15c
hits05_season_primary_predictions.csv,21952626dff5cd411a35b664edd6db8e4b1c5913c66e2109c135b528c3b04c75
hits05_season_stability_summary.md,79c714fdad372632c92a86de248584ca7996f0c41c0c874c75a1fc024e6c6c13
hits05_season_timing_provenance.csv,bf1b3d157674856f567a866d88326f418da0f615d00a43ddd0fae8be1d08b6ef
hits05_separation_behavior.csv,850a9d9a40d1a162c945d85c150b6e6b3c4b66fff00f2adb35e7ffeb16886bdc
artifacts/analysis/model_development/mlb_hits05_two_sided_probability_reconstruction_v1/2026-08-14/hits05_canonical_player_game_board.csv,25d8a80c87b929a9550be2b9fd4a362ac0bd97db66afacc5bcdf4a45ef7aa0d6
artifacts/analysis/model_development/mlb_hits_aug3_aug13_original_prospective_evidence_v1/2026-08-14/hits_original_prospective_primary_predictions.csv,37bb31ad5ab6b95154eee7deb06f30227cd619bd99484e9b8392a51d048dc67b
backend/mlb/scripts/assemble_mlb_hits05_2026_season_to_date_evidence_v1.py,deff4dba48e42860161b271f198ccc18ce21e6d39c61470a7ceb0e191a46e712
mlb.player_stats canonical 2026-03-25/2026-08-13 extract,d0b5bbfb8b6114f2f9e49d291b7b5a91366a0adc75c87429bdabacd76c106ee7
backend/mlb/exports/odds_history/2026-03-25/mlb_slate_output.csv,b2b61f109bfe3bdd017febaab296af1e6d7f356d569baf78524ff6953436a1f6
backend/mlb/exports/odds_history/2026-03-26/mlb_slate_output.csv,7268d4c1d1825ab1f08f41d733e24c935e14072f319a1ee1197d27dd45fddd7c
backend/mlb/exports/odds_history/2026-03-27/mlb_slate_output.csv,658bc304548357809f66258a2f0bb6c30a58ab7d2a3f807ff953f7b315894ad2
backend/mlb/exports/odds_history/2026-03-28/mlb_slate_output.csv,7f36de01245d7caaea9d1292f486e2147098ee79893f9573a89a196b8a29b480
