ordinal,feature,source,semantics,units,transformation,fallback,bounded,entity,coefficient,training_missing_after_governed_construction,training_pre_fallback_missing_rate,current_missing_after_governed_construction,mechanically_cumulative,sample_depth_or_confidence_measure,support_status
1,league_total,date-strict official completed-game league history,strict-prior league runs per game,runs/game,arithmetic prior mean,8.6 only before any league history,not explicitly; naturally nonnegative,league/date,-0.007650561803718463,0.0,0.0,0.0,NO,NO,MODERATE_DRIFT
2,home_offense,date-strict official team results,home club strict-prior runs scored state,runs/game,team arithmetic prior mean,strict-prior league home mean,not explicitly; naturally nonnegative,home_team_id,0.015165920655995545,0.0,0.0,0.0,NO,NO,IN_SUPPORT
3,home_prevention,date-strict official team results,home club strict-prior runs allowed state,runs/game,team arithmetic prior mean,strict-prior league away mean,not explicitly; naturally nonnegative,home_team_id,-0.011540466649533098,0.0,0.0,0.0,NO,NO,IN_SUPPORT
4,away_offense,date-strict official team results,away club strict-prior runs scored state,runs/game,team arithmetic prior mean,strict-prior league away mean,not explicitly; naturally nonnegative,away_team_id,0.013775102685456396,0.0,0.0,0.0,NO,NO,IN_SUPPORT
5,away_prevention,date-strict official team results,away club strict-prior runs allowed state,runs/game,team arithmetic prior mean,strict-prior league home mean,not explicitly; naturally nonnegative,away_team_id,-0.011846246357311912,0.0,0.0,0.0,NO,NO,IN_SUPPORT
6,home_starter_ra9,official prior probable-starter pitching appearances,home probable starter strict-prior runs allowed rate,runs/9 innings,27*runs/outs,strict-prior league total / 2 when no starter outs,not explicitly; naturally nonnegative,home_starter_starter_pitcher_id,0.014260987454727389,0.0,0.052274130479522535,0.0,NO,NO,IN_SUPPORT
7,away_starter_ra9,official prior probable-starter pitching appearances,away probable starter strict-prior runs allowed rate,runs/9 innings,27*runs/outs,strict-prior league total / 2 when no starter outs,not explicitly; naturally nonnegative,away_starter_starter_pitcher_id,0.007002475915133584,0.0,0.05392055978596419,0.0,NO,NO,IN_SUPPORT
8,home_expected_outs,governed starter/cohort prior workload,expected home starter workload,outs,"mean selected history, clipped 3..27","pitcher cohort, team starts, league starts, then 15 outs",yes: 3..27,home_starter_starter_pitcher_id,-0.007361001572272555,0.0,0.0,0.0,NO,NO,IN_SUPPORT
9,away_expected_outs,governed starter/cohort prior workload,expected away starter workload,outs,"mean selected history, clipped 3..27","pitcher cohort, team starts, league starts, then 15 outs",yes: 3..27,away_starter_starter_pitcher_id,0.0076670565942527575,0.0,0.0,0.0,NO,NO,IN_SUPPORT
10,home_workload_uncertainty_outs,governed starter/cohort prior workload,dispersion of plausible home starter workload,outs SD,SD of selected workload history,4.5 for singleton/default history,nonnegative; not upper clipped,home_starter_starter_pitcher_id,0.010736750416472023,0.0,0.0,0.0,NO,NO,IN_SUPPORT
11,away_workload_uncertainty_outs,governed starter/cohort prior workload,dispersion of plausible away starter workload,outs SD,SD of selected workload history,4.5 for singleton/default history,nonnegative; not upper clipped,away_starter_starter_pitcher_id,0.0019722974722490407,0.0,0.0,0.0,NO,NO,IN_SUPPORT
12,home_bullpen_ra9,official strict-prior home-team relief appearances,home bullpen prior run-prevention rate,runs/9 innings,27*runs/outs,strict-prior league total / 2 when no relief outs,not explicitly; naturally nonnegative,home_team_id,0.011500430968169254,0.0,0.0030870549495781024,0.0,NO,NO,IN_SUPPORT
13,away_bullpen_ra9,official strict-prior away-team relief appearances,away bullpen prior run-prevention rate,runs/9 innings,27*runs/outs,strict-prior league total / 2 when no relief outs,not explicitly; naturally nonnegative,away_team_id,0.008867486409897794,0.0,0.0030870549495781024,0.0,NO,NO,IN_SUPPORT
14,home_bullpen_likely_available_reliever_count,official strict-prior home-team relief appearances,recently observed relievers less those used in prior day,relievers,"max(0, unique prior-30-day relievers - unique prior-1-day relievers)",0 if no history,nonnegative rolling roster count,home_team_id,-0.013262985030833062,0.0,0.0,0.0,NO,NO,MODERATE_DRIFT
15,away_bullpen_likely_available_reliever_count,official strict-prior away-team relief appearances,recently observed relievers less those used in prior day,relievers,"max(0, unique prior-30-day relievers - unique prior-1-day relievers)",0 if no history,nonnegative rolling roster count,away_team_id,0.0020310716464405666,0.0,0.0,0.0,NO,NO,MODERATE_DRIFT
16,home_bullpen_recent_innings_burden,official strict-prior home-team relief appearances,home relief workload in prior three calendar days,innings,sum relief outs in prior 3 days / 3,0 if no qualifying recent history,nonnegative rolling-window workload,home_team_id,-0.0025168109530165667,0.0,0.0,0.0,NO,NO,SEVERE_DRIFT
17,away_bullpen_recent_innings_burden,official strict-prior away-team relief appearances,away relief workload in prior three calendar days,innings,sum relief outs in prior 3 days / 3,0 if no qualifying recent history,nonnegative rolling-window workload,away_team_id,0.006379359474389643,0.0,0.0,0.0,NO,NO,SEVERE_DRIFT
18,strict_prior_total_run_factor,official strict-prior venue and league history,regressed venue total-run multiplier,ratio,"w*direct_ratio+(1-w)*1, w=n/(n+50)",1.0 for unseen venue,shrinkage toward 1; direct ratio not clipped,venue_id,0.04519379965478723,0.0,0.0,0.0,NO,NO,IN_SUPPORT
19,game_number,official MLB schedule,scheduled doubleheader/game sequence state,ordinal,identity,1 for ordinary game,yes in observed contract: 1..2,schedule/game,0.00341793920317846,0.0,0.0,0.0,NO,NO,IN_SUPPORT
