schema,object_name,classification,exact_game_identity,exact_player_identity,duplicate_identity_groups,null_identity_rows,team_opponent_alignment,slate_date_alignment,date_coverage,source_timestamps,ingestion_timestamps,strict_prior_usability,target_game_leakage_risk,historical_rewrite_evidence,definition_risks,cleanroom_eligible
mlb,bvp_stats,DERIVED_RESEARCH_QUARANTINE,YES,NO,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-07-15 00:34:49.492212+00..2025-08-30 11:18:33.401722+00,,created_at|updated_at,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,UNKNOWN_FAIL_CLOSED,,False
mlb,game_info,TRUSTED_SOURCE,YES,NO,0,0,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2023-03-30..2026-07-28,game_time,,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,CALLER_MUST_ENFORCE,NO_UPDATE_FIELD,,True
mlb,model_training_props,DERIVED_RESEARCH_QUARANTINE,YES,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2023-03-30..2026-07-27,game_time,created_at|updated_at,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,UNKNOWN_FAIL_CLOSED,,False
mlb,pitcher_game_v4_base,DERIVED_RESEARCH_QUARANTINE,YES,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-03-30..2026-07-27,,,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,NO_UPDATE_FIELD,FULL_VIEW_DEFINITION_RECORDED_IN_DEPENDENCY_AUDIT,False
mlb,pitcher_game_v4_features_1,DERIVED_RESEARCH_QUARANTINE,YES,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-03-30..2026-07-27,,,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,NO_UPDATE_FIELD,FULL_VIEW_DEFINITION_RECORDED_IN_DEPENDENCY_AUDIT,False
mlb,pitcher_game_v4_features_2,DERIVED_RESEARCH_QUARANTINE,YES,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-03-30..2026-07-27,,,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,NO_UPDATE_FIELD,FULL_VIEW_DEFINITION_RECORDED_IN_DEPENDENCY_AUDIT,False
mlb,pitcher_game_v4_features_2_clean,DERIVED_RESEARCH_QUARANTINE,YES,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-03-30..2026-07-27,,,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,NO_UPDATE_FIELD,FULL_VIEW_DEFINITION_RECORDED_IN_DEPENDENCY_AUDIT,False
mlb,pitcher_game_v4_features_3,DERIVED_RESEARCH_QUARANTINE,YES,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-03-30..2026-07-27,,,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,NO_UPDATE_FIELD,FULL_VIEW_DEFINITION_RECORDED_IN_DEPENDENCY_AUDIT,False
mlb,pitcher_game_v4_features_4,DERIVED_RESEARCH_QUARANTINE,YES,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-03-30..2026-07-27,,,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,NO_UPDATE_FIELD,FULL_VIEW_DEFINITION_RECORDED_IN_DEPENDENCY_AUDIT,False
mlb,pitcher_game_v4_features_5,DERIVED_RESEARCH_QUARANTINE,YES,YES,,,NOT_BOUNDED_TESTED,NOT_APPLICABLE,2025-03-30..2026-07-27,,,POSSIBLE_WITH_EXPLICIT_DATE_FILTER,HIGH_DERIVED,NO_UPDATE_FIELD,FULL_VIEW_DEFINITION_RECORDED_IN_DEPENDENCY_AUDIT,False
