date,prediction_artifacts,model_name_present,version_present,hash_present,producer_path_recoverable,run_tag_recoverable,identity_status,reason
2026-03-25,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-03-26,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-03-27,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-03-28,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-03-29,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-03-30,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-03-31,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-01,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-02,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-03,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-04,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-05,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-06,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-07,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-08,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-09,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-10,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-11,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-12,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-13,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-14,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-15,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-16,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-17,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
2026-04-18,1,False,False,False,True,False,PARTIALLY_RECOVERABLE,producer path/source/run tag retained; semantic model ID/version/hash absent
